Name	Value	Comment	Value (Orig)
AboutDescription	"TQVault von bman654 (wickedsoul_@yahoo.com)
Hilfe bei Item-Stats von SadYc (sadyc1@gmail.com)
Zusätzliche Features von
VillageIdiot (villij-idjit@sbcglobal.net)

Übersetzung ins Deutsche von FOE.
Übersetzung ins Französische von Jean und Vifarc.
Übersetzung ins Polnische von Cygi.
Übersetzung ins Russische von Xelat
Übersetzung ins Spanische von Kurrus.

Die folgenden zusätzlichen Bibliotheken werden in TQVault benutzt:
VXPLib - A tooltip library with HTML rendering.
DevIl & Tao.Devil - Bild-Bibliothek zum Benutzten von DDS-Formatierten Bilddaten"		"TQVault by bman654 (wickedsoul_@yahoo.com) 
Help on Item Stats by SadYc (sadyc1@gmail.com)
Additional features by 
VillageIdiot (villij-idjit@sbcglobal.net)

The following 3rd party libraries are used in TQVault:
FreeImage - image library used to read DDS formatted image data
zlib_100 - a .NET version of the zlib library
CQuickFill & QuickFill.NET - This quickfill algorithm was heavily modified for use in my own algorithm to reconstruct the transparency data in the Titan Quest images."
AboutText	Über {0}		About {0}
AboutVersion	Version {0}		Version {0}
ARZExtractBtnExtract	Extrahieren 		Extract
ARZExtractCreateFolder	{0} existiert nicht.  Soll es jetzt Erzeugt werden?		{0} does not exist.  Would you like to create it now?
ARZExtractCreateFolder2	Ordner erstellen?		Create folder?
ARZExtractCreateFolderIT	{0} existiert nicht für die IT Database. Soll es jetzt Erzeugt werden?		{0} does not exist for IT database.  Would you like to create it now?
ARZExtractDestination	Wählen Sie den Zielordner für die extrahierten Datenbankeinträge		Select the destination folder for the extracted database records
ARZExtractFileDest	"Sie müssen einen Ordner angeben, keine Datei!"		"You must specify a folder, not a file!"
ARZExtractLabel1	"Gegenwärtig ist es nicht möglich, alle Datenbankeinträge des Spieles zu extrahieren.  Außerdem gibt existiert gegenwärtig einen Fehler im Toolset, der die Felderwerte zerstört, wenn die Einträge einzeln extrahiert werden.  Das Werkzeug kann benutzt werden, zum Extrahieren aller Einträge, welche dann korrekt extrahiert werden."		"Currently there is no way to extract all of the game database records at once.  Also there currently exists a bug in the Toolset that destroys array values when you extract records one by one.  Using this tool, you can now extract all records at once and all the records will be extracted correctly."
ARZExtractLabel2	"Nachdem Sie die Einträge extrahiert haben, kopieren Sie nur die Gewünschten in ihren Mod-Ordner. "		"After you have extracted the records, just copy the ones you want to use in your mod over to your mod folder."
ARZExtractLabel3	Bitte einen Ziel-Ordner wählen:		Choose a destination folder:
ARZExtractLabel4	Bitte einen Ziel-Ordner für die IT Database-Dateien wählen:		Choose a destination folder for IT Database Files:
ARZExtractLabel5	"Wenn kein Ziel-Ordner für die TQ- und IT-Datenbank angegeben wird, wird der selbe Ordner verwendet. Die IT-Daten überschreiben dann die TQ-Daten bei Konflikte gibt, Sie können aber auch verschiedene Ordner angeben um dies zu vermeiden."		If not populated the destination folders for the TQ database and the IT database will default to the same folder.  The IT files will overwrite the TQ files when there are conflicts though you can select different folders to avoid overwriting files.
ARZExtractText	Extrahiere die Database.arz		Extract database.arz
ARZExtractValidDest	Sie müssen einen gültigen Ziel-Ordner wählen.		You must enter a valid destination folder.
ARZProgressCancelledText	Extrahierung abgebrochen.		Extraction cancelled.
ARZProgressCompleteText	Extrahierung abgeschlossen.		Extraction complete.
ARZProgressFailedText	Extrahierung ist fehlgeschlagen.		Extraction Failed.
ARZProgressLabel	Extrahiere {0} ...		Extracting {0} ...
ARZProgressLabel1	Extrahiere		Extracting
ARZProgressText	Extrahiere Database.arz...		Extracting database.arz...
